,Pitcher,Inning,AutoPitchType,Count,Total count,Percentage
0,"Bateson, Trevor",8,ChangeUp,3,26,11%
1,"Bateson, Trevor",8,Curveball,2,26,7%
2,"Bateson, Trevor",8,Fastball,17,26,65%
3,"Bateson, Trevor",8,Other,4,26,15%
4,"Birdsong, Elijah",8,Curveball,1,18,5%
5,"Birdsong, Elijah",8,Fastball,17,18,94%
6,"Birdsong, Elijah",9,ChangeUp,1,18,5%
7,"Birdsong, Elijah",9,Curveball,1,18,5%
8,"Birdsong, Elijah",9,Fastball,11,18,61%
9,"Birdsong, Elijah",9,Slider,5,18,27%
10,"Cadola, Tevin",1,ChangeUp,3,14,21%
11,"Cadola, Tevin",1,Fastball,11,14,78%
12,"Cadola, Tevin",2,ChangeUp,2,23,8%
13,"Cadola, Tevin",2,Curveball,1,23,4%
14,"Cadola, Tevin",2,Fastball,15,23,65%
15,"Cadola, Tevin",2,Slider,5,23,21%
16,"Cadola, Tevin",3,ChangeUp,4,16,25%
17,"Cadola, Tevin",3,Curveball,1,16,6%
18,"Cadola, Tevin",3,Fastball,10,16,62%
19,"Cadola, Tevin",3,Slider,1,16,6%
20,"Cadola, Tevin",4,ChangeUp,5,25,20%
21,"Cadola, Tevin",4,Curveball,4,25,16%
22,"Cadola, Tevin",4,Fastball,10,25,40%
23,"Cadola, Tevin",4,Other,1,25,4%
24,"Cadola, Tevin",4,Slider,5,25,20%
25,"Cadola, Tevin",5,Curveball,4,12,33%
26,"Cadola, Tevin",5,Fastball,3,12,25%
27,"Cadola, Tevin",5,Slider,5,12,41%
28,"Cadola, Tevin",6,Curveball,1,20,5%
29,"Cadola, Tevin",6,Fastball,14,20,70%
30,"Cadola, Tevin",6,Other,2,20,10%
31,"Cadola, Tevin",6,Slider,3,20,15%
32,"Clark, Jonathan",2,ChangeUp,3,9,33%
33,"Clark, Jonathan",2,Fastball,5,9,55%
34,"Clark, Jonathan",2,Slider,1,9,11%
35,"Clark, Jonathan",3,ChangeUp,1,11,9%
36,"Clark, Jonathan",3,Curveball,2,11,18%
37,"Clark, Jonathan",3,Fastball,7,11,63%
38,"Clark, Jonathan",3,Slider,1,11,9%
39,"Clark, Jonathan",4,ChangeUp,3,14,21%
40,"Clark, Jonathan",4,Fastball,11,14,78%
41,"Clark, Jonathan",5,ChangeUp,7,24,29%
42,"Clark, Jonathan",5,Curveball,2,24,8%
43,"Clark, Jonathan",5,Fastball,14,24,58%
44,"Clark, Jonathan",5,Slider,1,24,4%
45,"Clark, Jonathan",6,ChangeUp,8,28,28%
46,"Clark, Jonathan",6,Curveball,6,28,21%
47,"Clark, Jonathan",6,Fastball,13,28,46%
48,"Clark, Jonathan",6,Slider,1,28,3%
49,"Clark, Jonathan",7,ChangeUp,13,21,61%
50,"Clark, Jonathan",7,Curveball,3,21,14%
51,"Clark, Jonathan",7,Other,5,21,23%
52,"Clawson, Wesley",8,ChangeUp,2,12,16%
53,"Clawson, Wesley",8,Fastball,9,12,75%
54,"Clawson, Wesley",8,Slider,1,12,8%
55,"Del Bonta-Smith, Fineas",8,Fastball,4,8,50%
56,"Del Bonta-Smith, Fineas",8,Slider,4,8,50%
57,"Del Bonta-Smith, Fineas",9,ChangeUp,2,29,6%
58,"Del Bonta-Smith, Fineas",9,Fastball,18,29,62%
59,"Del Bonta-Smith, Fineas",9,Other,3,29,10%
60,"Del Bonta-Smith, Fineas",9,Sinker,1,29,3%
61,"Del Bonta-Smith, Fineas",9,Slider,5,29,17%
62,"Ertz, Jackson",9,ChangeUp,2,23,8%
63,"Ertz, Jackson",9,Fastball,20,23,86%
64,"Ertz, Jackson",9,Other,1,23,4%
65,"Giles, Chandler",1,Curveball,2,17,11%
66,"Giles, Chandler",1,Fastball,14,17,82%
67,"Giles, Chandler",1,Slider,1,17,5%
68,"Giles, Chandler",2,ChangeUp,1,43,2%
69,"Giles, Chandler",2,Curveball,4,43,9%
70,"Giles, Chandler",2,Fastball,38,43,88%
71,"Giles, Chandler",8,Fastball,11,11,100%
72,"Granillo, Andre",6,Curveball,6,27,22%
73,"Granillo, Andre",6,Fastball,21,27,77%
74,"Granillo, Andre",7,ChangeUp,2,7,28%
75,"Granillo, Andre",7,Fastball,5,7,71%
76,"Haffar, Abbott",8,ChangeUp,6,20,30%
77,"Haffar, Abbott",8,Curveball,1,20,5%
78,"Haffar, Abbott",8,Fastball,13,20,65%
