,,Extension,Extension,Extension,Extension,Extension,Extension,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelSide,RelSide,RelSide,RelSide,RelSide,RelSide,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,pfxx,pfxx,pfxx,pfxx,pfxx,pfxx,pfxz,pfxz,pfxz,pfxz,pfxz,pfxz
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max
Pitcher,PitcherSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bateson, Trevor",Stretch,16.0,6.102488042187499,0.15332970745486882,5.8164018760000005,6.0993234465,6.347125742999999,16.0,5.3111187659375005,11.152260680901435,-13.99556345,8.888736878500001,16.04810144,16.0,5.903778885062501,0.10771811213860209,5.721677439,5.907913022,6.044826079,16.0,0.7880188691875,0.14873060340830138,0.414458935,0.8029976935,1.039505691,16.0,80.155658998125,6.119461656288051,70.66906556,83.60829883,86.56069528,16.0,179.177382488125,58.39006369530862,70.14321706,203.97956695,234.7481319,16.0,2001.5208839999998,130.44320276426046,1670.7295390000002,2001.1589565,2256.587083,16.0,-32.374044635625005,15.065592132524783,-58.51228901,-25.96485507,-17.18127116,16.0,-3.5341844703125,6.2035118891171175,-9.375973319,-5.7398815535,6.95096018,16.0,6.687765189937499,5.117958439039811,-3.4894611710000003,8.477322928500001,12.68385492
"Bateson, Trevor",Windup,8.0,6.076453771625,0.1267759562591987,5.854627334,6.100603425999999,6.232588346,8.0,13.336455291250001,1.368890216566656,11.70578881,12.879725195,15.51836476,8.0,5.964734121375001,0.053557921387907756,5.876107582,5.979620840000001,6.026303457000001,8.0,0.76593231575,0.10301906313570228,0.632407289,0.730430222,0.9438652409999999,8.0,84.74198535375001,2.955533528938158,77.80309092,85.220381945,87.73738383,8.0,214.713558425,5.478965576395539,209.63408569999999,213.35935465,225.9600296,8.0,1896.229113875,78.90775088342454,1822.211962,1877.6882765,2044.4439719999998,8.0,-19.64303745375,4.170037565921599,-28.38255521,-18.15857699,-15.79926361,8.0,-8.10856054125,0.7923626504074525,-9.47406756,-7.935085539,-7.150954662999999,8.0,10.730158478750003,1.28462993642735,8.395377323,11.180069945,12.49389418
"Birdsong, Elijah",Stretch,6.0,5.651999151666666,0.15017349255066667,5.525944001,5.5939800900000005,5.8767073729999995,6.0,14.681074285,2.6983947746332713,10.63715506,14.70931521,18.17463935,6.0,6.108538100333334,0.14855842292071664,5.91257783,6.122036736,6.262599923,6.0,1.0396919693333333,0.19003407053907284,0.768110462,1.0503931444999999,1.23151266,6.0,89.35295082333333,1.3313545396371214,87.19846458,89.390105865,91.10642959,6.0,225.0474343333333,11.517047815875918,209.22440840000002,226.93065969999998,236.8037125,6.0,2019.8692266666667,87.67779500848859,1908.4304350000002,2011.890038,2125.5589019999998,6.0,-20.699618106666666,3.158373682964943,-24.71892817,-20.993240205,-16.922280100000002,6.0,-8.404594307000002,1.382268229912544,-10.09719865,-8.439011803,-6.152252829,6.0,8.5065916155,2.297526249056269,5.869250589,8.2981921835,11.26379568
"Birdsong, Elijah",Windup,30.0,5.681723474133332,0.20258752182569062,5.205037095,5.671343348,6.132763113999999,30.0,10.124166991,7.899998091208043,-5.931560854,13.767640660000001,16.82327861,30.0,6.1672412897,0.11294738841296367,5.933463152000001,6.183254744000001,6.3647437810000005,30.0,0.9807204709333334,0.20783762347612075,0.6376927179999999,0.9370462575,1.365166399,30.0,86.288958064,5.043963171000038,75.96603967,88.45498510499999,91.08706966,30.0,190.20087250266664,60.341355135720306,26.84268878,215.09047395,234.58882549999998,30.0,2072.693328166666,86.39007738589316,1866.1971800000001,2068.537354,2236.6314429999998,30.0,-25.676722792333337,12.646450186802532,-54.62396636,-21.03889215,-12.90101069,30.0,-5.976159746133335,4.342051930590822,-9.767849956000001,-7.98651164,2.849393193,30.0,7.684789820833332,4.327857015408225,-1.9926818569999998,8.6502400295,13.49338768
"Cadola, Tevin",Stretch,53.0,6.5247882049056605,0.40951869486610526,5.7629944,6.569442166,7.537133685,53.0,3.0267524924528297,8.341578943011344,-12.55868041,6.153770152000001,14.70675459,53.0,5.797046601679245,0.19299909305516255,5.442039927000001,5.7702679560000005,6.140186532,53.0,2.0481957288113213,0.4423009102846812,0.8385150379999999,2.176791037,2.612487026,53.0,84.66471245113206,5.853303038973143,70.23210685,88.03391772,90.73124727,53.0,156.81936851320756,67.19004328833604,22.74562481,197.0643215,220.01526370000002,53.0,2375.9305491320756,138.20684499211998,2020.3492850000002,2360.140401,2697.929397,53.0,-28.167734550000013,17.188396754366046,-68.17724991,-17.42603098,-10.75306738,53.0,-2.5566612668490567,4.85288515190892,-9.43197317,-4.134667843,6.169335669,53.0,6.491010762962265,6.515956994587957,-7.730273131000001,10.64224007,13.85792498
"Cadola, Tevin",Windup,57.0,6.6031643128947355,0.26181359812884025,5.85837217,6.696020006,6.941240908999999,57.0,5.192849300824562,7.206710627446575,-10.56149206,6.466895686,14.98493359,57.0,5.7997327801754395,0.16000698589302434,5.5466718429999995,5.761846254,6.347613971,57.0,2.204531490070176,0.19567167250567913,1.754078249,2.2318096990000003,2.680170668,57.0,86.84349083473683,4.148807187979213,75.63556438,88.51514879,92.56407242,57.0,183.63953372175436,50.80562390240756,27.31536823,202.1116738,240.5001387,57.0,2309.9785611403513,288.46885280932463,1572.818542,2357.016982,2845.789161,57.0,-23.16443959701754,11.797907290982558,-56.92027896,-17.36302343,-10.76329725,57.0,-3.660699331561404,4.115984577791922,-9.137137125,-4.698690672,5.596542239,57.0,8.109682216017545,4.660997698251523,-4.6695177910000005,9.688387098,13.71339347
"Clark, Jonathan",Stretch,39.0,6.020944604179485,0.15430903194386036,5.7023556939999995,6.024875703999999,6.307561272,39.0,8.355487308666667,4.884287127066542,-5.839012949,8.564215617999999,15.95638352,39.0,6.000035110487179,0.10255491887207159,5.802701046,6.000722883,6.232006886000001,39.0,2.168001703615385,0.13469075204895026,1.862117051,2.17587263,2.527932986,39.0,83.65144892333333,4.05364400461158,72.52084343,84.72747966,88.73611073,39.0,199.82166736282053,39.23956496786469,38.87805931,207.0861553,236.75184040000002,39.0,1901.820211923077,337.47887146986017,1262.798137,2047.3809629999998,2286.362067,39.0,-23.990531859743587,12.173022403601056,-61.57339002,-19.03943442,-11.24323235,39.0,-5.627749774333334,2.7115184857532975,-9.590529647,-5.881686189,2.1487083019999997,39.0,9.54611905205128,4.670002722074373,-4.169765378999999,11.13307737,15.15181579
"Clark, Jonathan",Windup,67.0,5.981060935940295,0.2459661437458453,5.327735535,6.034302596,6.525569963,67.0,2.8769144692985074,9.840388659836847,-16.78695138,8.65997513,14.53463329,67.0,5.845016138985075,0.3219150813041322,5.150812985,5.967321106,6.210515362000001,67.0,0.8359849433283579,2.0714860296538795,-3.019092987,1.963778024,2.3221841690000002,67.0,80.54350249014928,6.945508206541008,65.92032366,82.15088379,90.36291224,67.0,168.14795042686566,69.16985060523632,26.93850701,203.25605,259.82567439999997,67.0,2043.2935028208956,279.5325647212904,1234.3395070000001,2166.216387,2330.1768739999998,67.0,-32.39132435208955,19.74824814888712,-65.48567573,-22.20560937,-11.19449656,67.0,-1.890202846626866,5.919584974287998,-9.122720954,-4.994146807,10.29750817,67.0,6.994725089417911,7.2510898285858065,-6.9540847789999995,10.60449554,15.01249903
