,,Extension,Extension,Extension,Extension,Extension,Extension,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,HorzBreak,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelHeight,RelSide,RelSide,RelSide,RelSide,RelSide,RelSide,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,RelSpeed,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinAxis,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,SpinRate,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,VertBreak,pfxx,pfxx,pfxx,pfxx,pfxx,pfxx,pfxz,pfxz,pfxz,pfxz,pfxz,pfxz
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max,count,mean,std,min,50%,max
Pitcher,AutoPitchType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bateson, Trevor",ChangeUp,2.0,6.251997815499999,0.13453120523094464,6.156869887999999,6.251997815499999,6.347125742999999,2.0,10.5130988905,2.7483456547241105,8.569725041,10.5130988905,12.45647274,2.0,5.8422773045000005,0.047843237259345216,5.808447027000001,5.8422773045000005,5.876107582,2.0,0.5741907205,0.2258948573961701,0.414458935,0.5741907205,0.733922506,2.0,77.35107837000001,0.6392422785728455,76.89906582,77.35107837000001,77.80309092,2.0,210.81924,5.528714621347443,206.90984840000002,210.81924,214.7286316,2.0,1751.8533225,114.72635485671847,1670.7295390000002,1751.8533225,1832.9771059999998,2.0,-29.50069022,1.5812816957061757,-30.61882523,-29.50069022,-28.38255521,2.0,-6.7163510355,1.1864356485059266,-7.555287728,-6.7163510355,-5.877414343,2.0,9.794359296,0.2673315601397552,9.605327337,9.794359296,9.983391255
"Bateson, Trevor",Curveball,1.0,6.1044504,,6.1044504,6.1044504,6.1044504,1.0,-13.99556345,,-13.99556345,-13.99556345,-13.99556345,1.0,5.721677439,,5.721677439,5.721677439,5.721677439,1.0,0.839436435,,0.839436435,0.839436435,0.839436435,1.0,72.24177504,,72.24177504,72.24177504,72.24177504,1.0,70.14321706,,70.14321706,70.14321706,70.14321706,1.0,2256.587083,,2256.587083,2256.587083,2256.587083,1.0,-58.51228901,,-58.51228901,-58.51228901,-58.51228901,1.0,6.95096018,,6.95096018,6.95096018,6.95096018,1.0,-3.4894611710000003,,-3.4894611710000003,-3.4894611710000003,-3.4894611710000003
"Bateson, Trevor",Fastball,17.0,6.078482307117646,0.13619715345737715,5.854627334,6.0570164570000005,6.319455884,17.0,12.967956064882355,2.6376668380609956,7.9749126960000005,13.18591892,16.04810144,17.0,5.968132617764706,0.07022190266852449,5.791372721,5.984835945,6.044826079,17.0,0.7830173380000001,0.12017795570142002,0.632407289,0.726937938,1.039505691,17.0,85.05632358941178,1.255657455224293,82.4694141,84.93481728,87.73738383,17.0,216.18625416470582,10.676262961791759,200.633242,213.5781122,234.7481319,17.0,1949.4714662352944,83.70252281692292,1822.211962,1947.516891,2104.676834,17.0,-20.596603789411766,3.8255701621894387,-27.94212074,-20.00837382,-15.79926361,17.0,-7.817760591529412,1.4564962025434385,-9.47406756,-7.873686374,-5.081199103,17.0,10.21538198917647,1.9027304420991902,6.487396068,11.00580781,12.68385492
"Bateson, Trevor",Other,4.0,6.077198399,0.18130897786663566,5.8164018760000005,6.1380139934999995,6.216363733,4.0,-8.95408621225,3.5390150068405695,-12.02558812,-9.710848126,-4.369060477,4.0,5.8284621455,0.05429675651215061,5.762473242,5.829954567,5.8914662060000005,4.0,0.8591619527500001,0.06616450932855508,0.787322515,0.865263585,0.918798126,4.0,71.8812485,1.2907335066412127,70.66906556,71.667782475,73.52036349,4.0,104.3996423375,4.379104369707331,97.83489345,106.49360595,106.77646399999999,4.0,2073.21460025,44.367683684056324,2012.3695899999998,2081.050813,2118.387185,4.0,-51.868269982499996,1.674936515750646,-53.51697261,-51.91184650999999,-50.1324143,4.0,4.4920590229999995,2.151858875309036,1.6590566880000002,4.9985152535,6.312148897,4.0,0.7711899080000001,0.9545926893089315,-0.234975267,0.7404448060000001,1.8388452869999998
"Birdsong, Elijah",ChangeUp,1.0,6.132763113999999,,6.132763113999999,6.132763113999999,6.132763113999999,1.0,15.76047481,,15.76047481,15.76047481,15.76047481,1.0,6.142437285,,6.142437285,6.142437285,6.142437285,1.0,1.130238535,,1.130238535,1.130238535,1.130238535,1.0,80.56553212,,80.56553212,80.56553212,80.56553212,1.0,228.78496780000003,,228.78496780000003,228.78496780000003,228.78496780000003,1.0,1866.1971800000001,,1866.1971800000001,1866.1971800000001,1866.1971800000001,1.0,-29.85003704,,-29.85003704,-29.85003704,-29.85003704,1.0,-8.442836629,,-8.442836629,-8.442836629,-8.442836629,1.0,7.746515649,,7.746515649,7.746515649,7.746515649
"Birdsong, Elijah",Curveball,2.0,5.272097201499999,0.09483731210648423,5.205037095,5.272097201499999,5.339157308,2.0,-3.422511082,3.092950219385632,-5.609557156,-3.422511082,-1.235465008,2.0,6.2056466025,0.024702967026689223,6.188178967000001,6.2056466025,6.223114238,2.0,0.9266935079999999,0.07943187152830056,0.870526693,0.9266935079999999,0.9828603229999999,2.0,76.315454445,0.4941471136985429,75.96603967,76.315454445,76.66486922,2.0,41.73238928,21.057216386773458,26.84268878,41.73238928,56.62208978,2.0,1986.102225,22.06451898795195,1970.5002539999998,1986.102225,2001.7041960000001,2.0,-53.6254132,1.4121674216225113,-54.62396636,-53.6254132,-52.62686004,2.0,1.115733191,2.1959917091932724,-0.437067438,1.115733191,2.66853382,2.0,-1.2784788114999999,1.0100356332342686,-1.9926818569999998,-1.2784788114999999,-0.5642757660000001
"Birdsong, Elijah",Fastball,28.0,5.7174753843928565,0.146877237055932,5.508085699,5.7107266894999995,6.028935657000001,28.0,14.321867196071427,2.061207660643322,10.25181855,14.529493495,18.17463935,28.0,6.149975785928571,0.13200872565443497,5.91257783,6.176542856,6.3647437810000005,28.0,1.0111631121071427,0.21732782648460564,0.6376927179999999,0.9771427525,1.365166399,28.0,89.22543032214286,1.1709241678726894,86.59224466,89.11395157,91.10642959,28.0,221.02152266071425,8.975910073497808,208.5679435,220.34918635,236.8037125,28.0,2071.836549071428,80.87016860658386,1908.4304350000002,2073.8349605000003,2225.3180829999997,28.0,-19.13306189821429,3.0773069501009274,-24.71892817,-18.07987439,-12.90101069,28.0,-8.291410305178575,1.0724879392609818,-10.09719865,-8.278670178,-6.152252829,28.0,9.616702998964286,1.889691212681736,5.869250589,10.397269080000001,13.49338768
"Birdsong, Elijah",Slider,5.0,5.5194861708,0.05096463567522208,5.459696323999999,5.543316471,5.56992368,5.0,-3.6232557391999998,1.5394777281252274,-5.931560854,-3.5764411519999997,-2.123374627,5.0,6.183082959400001,0.06460174139352794,6.087921968,6.1984789000000005,6.254261024,5.0,0.8727146508000001,0.12257929990181896,0.7054073890000001,0.8708849120000001,0.991331506,5.0,78.655591366,0.5595490212317374,78.03335081,78.4921253,79.42738605,5.0,111.09168004400001,43.18016177064252,69.54276239,103.83656690000001,156.3480225,5.0,2090.0380402,94.05523547654788,2005.926525,2052.55034,2236.6314429999998,5.0,-44.334559164,3.8626330567918368,-48.00356493,-45.28531398,-39.67701444,5.0,1.7317001132,0.7047765651147139,1.109485615,1.728228585,2.849393193,5.0,1.4252004642,1.9422548233306236,-0.462945413,1.324657377,3.886055395
